customer_id,TotalRevenue,TotalOrder
31,3077.9100341796875,5
85,2838.0099487304688,5
65,1935.75,1
53,1143.7600021362305,3
78,1260.7699584960938,2
34,2734.9599609375,4
81,3568.9400329589844,4
28,3263.3600311279297,4
76,4826.089904785156,4
26,4606.830062866211,6
27,3887.0999145507812,5
44,3948.5399322509766,4
12,4034.4000091552734,4
91,4423.779937744141,7
22,1943.3599967956543,5
93,902.8899688720703,3
47,5249.680084228516,9
1,4183.07991027832,6
52,3152.1600036621094,4
13,4243.869943618774,5
86,5025.799957275391,5
16,2110.0599822998047,3
6,4989.880065917969,5
3,3631.510019302368,3
20,1616.9700202941895,4
40,1640.2199401855469,4
94,2531.360023498535,6
57,3205.7500495910645,7
54,8087.030075073242,11
96,3970.719970703125,5
48,6386.860023498535,7
5,2923.360076904297,3
19,5043.220001220703,9
92,2705.489990234375,3
64,2174.6000442504883,3
41,7161.06005859375,6
15,8532.380142211914,11
43,750.9400024414062,1
37,5662.400146484375,7
61,4302.410003662109,4
88,4415.619979858398,7
9,4553.36008644104,6
17,3432.8099822998047,5
72,6877.590057373047,8
35,3488.2899169921875,5
59,5002.920059204102,6
55,3959.050003051758,7
4,3308.9199829101562,3
8,3431.680000305176,5
100,3203.8299560546875,1
39,2901.010009765625,4
23,1898.9400024414062,4
49,2964.899948120117,4
7,6004.820129394531,7
84,2212.22998046875,5
87,3294.160041809082,5
51,3998.379913330078,3
69,979.2000427246094,2
97,2195.239990234375,2
63,2892.5799102783203,4
10,2300.470001220703,5
77,5962.9799728393555,6
50,2827.909942626953,4
45,2122.090003967285,5
38,5057.090026855469,6
82,4322.060028076172,4
80,2027.1999816894531,5
73,4324.27001953125,3
25,5012.620086669922,3
24,3351.5399780273438,7
70,924.7199935913086,3
62,1535.7099914550781,2
95,5396.990173339844,5
29,2772.8199768066406,4
21,1814.189956665039,4
98,7455.560134887695,7
90,6327.699981689453,7
32,1934.510009765625,3
60,964.199951171875,1
75,5599.72004699707,8
56,4272.859954833984,7
58,257.2699966430664,2
11,3091.6299438476562,4
33,305.29998779296875,1
83,3381.1900329589844,5
68,2500.0199661254883,5
71,4141.919952392578,7
14,3810.6701049804688,3
42,3924.209976196289,6
79,6338.270004272461,8
2,1995.9300231933594,3
99,4488.349945068359,6
30,2854.959976196289,4
66,3076.4999389648438,3
67,5505.259925842285,5
46,182.3699951171875,1
18,2239.380043029785,6
74,1275.5800247192383,5
36,3962.8399963378906,4
89,4959.429901123047,6
